Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12278640/2020/9/23/fd541417-c99c-4630-b108-e1d1151f511d1600836566814-Roadster-Women-Jeans-3331600836564911-1.jpg",Roadster Women Navy Blue Flared Fit High-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7289168/2018/9/6/ddd46974-951a-4877-81f1-3126d61ef2e51536224447671-HSWFPR11826-2781536224447515-1.jpg",High Star Women Black Slim Fit High-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7557286/2018/10/5/df143933-fa1a-4b00-8fc3-d65e0831fe9e1538724797871-NA-351538724797692-1.jpg",Tokyo Talkies Women White Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11184908/2020/9/24/a47a2f69-0f23-4a26-bf44-de0e262da3131600939767402-Levis-Women-Jeans-3421600939764611-1.jpg",Levis Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/3/15/739ef2d9-3c9c-405d-bd75-33aef4d514951552634288796-1.jpg",High Star Women Grey Slim Fit High-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10366417/2019/11/19/81c731bc-f876-4452-a3fb-67acce4bed6e1574170597400-DressBerry-Women-Jeans-3101574170595158-1.jpg",DressBerry Women Navy Blue Skinny Fit Mid-Rise Clean Look  Stretchable Ankle Length Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/4376534/2019/6/10/c416214c-5f75-4855-bc3d-e21ff85b86eb1560148604974-Vero-Moda-Women-Blue-Slim-Fit-Low-Rise-Mildly-Distress-Stret-1.jpg",Vero Moda Women Blue Slim Fit Low-Rise Mildly Distress Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8083185/2018/12/17/c8418707-f3cb-4e55-acb4-940395d267171545049992466-Tokyo-Talkies-Women-Black-Super-Skinny-Fit-Mid-Rise-Clean-Lo-1.jpg",Tokyo Talkies Women Black Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2322617/2019/10/4/82f8077e-d4e0-4d7d-ba09-98adabe262ed1570173510953-Roadster-Women-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchab-1.jpg",Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/12/5c77bf19-79ee-4318-8a44-c0746a343e021544633387328-1.jpg",Tokyo Talkies Women Navy Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10877160/2019/11/12/8c4cd248-4112-41ed-9e97-ff904a6f21ee1573546968858-DILLINGER-Women-Tshirts-4711573546966425-1.jpg",DILLINGER Women Yellow Boxy Fit Printed Round Neck Longline T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10877244/2019/11/15/601dccc7-8d3c-4171-a767-44b6896d647b1573808756626-DILLINGER-Women-Tshirts-4411573808755300-1.jpg",DILLINGER Women Mustard Yellow Printed Round Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10877284/2019/11/12/7b4e6867-e680-482a-9355-d27f8b650ca31573548619747-DILLINGER-Women-Tshirts-1701573548616931-1.jpg",DILLINGER Women Burgundy Printed Round Neck Longline T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10877240/2019/11/12/58d703f7-a085-4eea-a664-b3ea003162631573557394853-DILLINGER-Women-Tshirts-5751573557392626-1.jpg",DILLINGER Women Navy Blue Printed Round Neck Longline T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11893676/2020/9/30/d4f1a51c-1461-4b8e-96b7-562519d107fe1601439557867-Roadster-Women-Tshirts-6041601439556040-1.jpg",Roadster Women White & Pink Colourblocked Round Neck T-shirt with Layered Detail Sleeve
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10426068/2019/8/26/9e29ae56-bbdd-42f9-945f-da7bc2126a3c1566798442329-DILLINGER-Women-Tshirts-561566798440878-1.jpg",DILLINGER Women Blue Printed Round Neck T-shirt
